SMILES,CID,CID (canonical),CID (old format),Postera Link,InChIKey,Submission Creator,Submission Rationale,Submission Notes,Submission Fragments,Structure ID,Fragalysis Link,Enamine - REAL Space,Enamine - Extended REAL Space,Enamine - SCR,Enamine - BB,Mcule,Mcule Ultimate,In Molport or Mcule,In eMolecules,Ordered,Made,Assayed,MW,cLogP,TPSA,Rotatable Bonds,Fraction sp3,HBA,HBD,Covalent Fragment,Covalent Warhead,Acrylamide,Acrylamide Adduct,Chloroacetamide,Chloroacetamide Adduct,Vinylsulfonamide,Vinylsulfonamide Adduct,Nitrile,Nitrile Adduct,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,NMR_std_ratio,series,Order Date,Maker,Shipment Date,inspired_by
O=C(Nc1cnc2ccc(F)cn12)C1CCc2cc(Cl)c(Cl)cc21,JUL-TUD-ba2aea69-1,JUL-TUD-ba2aea69-1,,https://covid.postera.ai/covid/submissions/ba2aea69-8f6a-47db-bb8b-e2618f799110/1,UZJPQYDYCHQFFH-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,363.03,4.45,46.4,2,0.18,3,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
O=C(Nc1cnc2ccc(F)cn12)C1CCc2cc(Cl)c(Cl)cc21,JUL-TUD-06b2044f-1,JUL-TUD-ba2aea69-1,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/1,UZJPQYDYCHQFFH-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,363.03,4.45,46.4,2,0.18,3,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
O=C(Nc1cnn2ccncc12)C1CCc2cc(Cl)c(Cl)cc21,JUL-TUD-06b2044f-2,JUL-TUD-06b2044f-2,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/2,ZKDAOGDSSDVYSU-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,346.04,3.7,59.29,2,0.19,4,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
Cc1cc2ncc(NC(=O)C3CCc4cc(Cl)c(Cl)cc43)n2nc1C,JUL-TUD-06b2044f-3,JUL-TUD-06b2044f-3,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/3,HDLWBKZPJMWTFZ-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,374.07,4.32,59.29,2,0.28,4,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
Cc1c(Cl)c(Cl)cc2c1OCC(C)C2C(=O)Nc1cnc2n1CCC2,JUL-TUD-06b2044f-4,JUL-TUD-06b2044f-4,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/4,XXJBVEVNWSBKAD-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,379.09,4.2,56.15,2,0.44,4,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
O=C(Nc1cnn(CC2CCOC2)c1)C1Cc2cc(Cl)c(Cl)cc21,JUL-TUD-06b2044f-5,JUL-TUD-06b2044f-5,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/5,DJCPQCZSPKIESL-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,365.07,3.5,56.15,4,0.41,4,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
CC1COc2c(F)cc(Cl)cc2C1C(=O)Nc1cnc2c(F)cccn12,JUL-TUD-06b2044f-6,JUL-TUD-06b2044f-6,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/6,BWIFNIZNNBPBSP-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,377.07,4.02,55.63,2,0.22,4,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
CC1COc2cc(Cl)c(Cl)cc2C1C(=O)Nc1cnnn1CC1CC1,JUL-TUD-06b2044f-7,JUL-TUD-06b2044f-7,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/7,IZULAKIHRIXFFK-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,380.08,3.75,69.04,4,0.47,5,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
CCn1nncc1NC(=O)C1c2cc(Cl)c(Cl)cc2OCC1C,JUL-TUD-06b2044f-8,JUL-TUD-06b2044f-8,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/8,NTFSQBDMFFKGBG-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,354.07,3.36,69.04,3,0.4,5,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
CCOc1c(Cl)cc(Cl)cc1CC(=O)Nc1nnc(C)cc1C#N,JUL-TUD-06b2044f-9,JUL-TUD-06b2044f-9,,https://covid.postera.ai/covid/submissions/06b2044f-e535-4a94-acfd-a6bd7604ec03/9,GDQSJRQWFBJEOI-UHFFFAOYSA-N,"Julien Hazemann, TU-Dortmund & Idorsia Pharmaceuticals Ltd","In the frame of a collaboration with the Czodrowski AG and Idorsia Pharmaceuticals, the submitted compounds were designed with a Deep Generative Model (DGM) using Reinforcement Learning (RL). Using Covid Moonshot data and ChEMBL data, privileged fragments were identified by Matched Molecular Pairs and a scoring components was developed. Crystal structures (Fragalysis data) with non-covalent ligands were selected and used for a shape and 3D-Pharmacophore scoring component. The scoring components were used in RL fashion to train a DGM to generate potential SARS-COV-2 Mpro inhibitors. Molecules were then generated. The molecules were prioritized by Machine Learning for synthesizability and binding affinity. Finally, the generated molecules were further assessed by template docking using 3 selected PDB files (MPro-x12692, MPro-x11294 and Mpro-P0009) covering 3 main series (amino-pyridine, Ugi and quinolone series). 157 molecules were then selected and submitted to Covid Moonshot.",,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,364.05,3.54,87.9,5,0.25,5,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,3-aminopyridine-like,,,,
