,dataset,identity,receptor,score,v1_project,v1_run,v2_project,v2_run,v3_project,v3_run
0,x11294_RL,LIG0,x11294.pdb,,,,,,50000,0
1,x11294_RL,LIG1,x11294.pdb,,,,,,50000,1
2,x11294_RL,LIG2,x11294.pdb,,,,,,50000,2
3,x11294_RL,LIG3,x11294.pdb,,,,,,50000,3
4,x11294_RL,LIG4,x11294.pdb,,,,,,50000,4
5,x11294_RL,LIG5,x11294.pdb,,,,,,50000,5
6,x11294_RL,LIG6,x11294.pdb,,,,,,50000,6
7,x11294_RL,LIG7,x11294.pdb,,,,,,50000,7
8,x11294_RL,LIG8,x11294.pdb,,,,,,50000,8
9,x11294_RL,LIG9,x11294.pdb,,,,,,50000,9
10,x11294_RL,LIG10,x11294.pdb,,,,,,50000,10
11,x11294_RL,LIG11,x11294.pdb,,,,,,50000,11
12,x11294_RL,LIG12,x11294.pdb,,,,,,50000,12
13,x11294_RL,LIG13,x11294.pdb,,,,,,50000,13
14,x11294_RL,LIG14,x11294.pdb,,,,,,50000,14
15,x11294_RL,LIG15,x11294.pdb,,,,,,50000,15
16,x11294_RL,LIG16,x11294.pdb,,,,,,50000,16
17,x11294_RL,LIG17,x11294.pdb,,,,,,50000,17
18,x11294_RL,LIG18,x11294.pdb,,,,,,50000,18
19,x11294_RL,LIG19,x11294.pdb,,,,,,50000,19
20,x11294_RL,LIG20,x11294.pdb,,,,,,50000,20
21,x11294_RL,LIG21,x11294.pdb,,,,,,50000,21
22,x11294_RL,LIG22,x11294.pdb,,,,,,50000,22
23,x11294_RL,LIG23,x11294.pdb,,,,,,50000,23
24,x11294_RL,LIG24,x11294.pdb,,,,,,50000,24
25,x11294_RL,LIG25,x11294.pdb,,,,,,50000,25
26,x11294_RL,LIG26,x11294.pdb,,,,,,50000,26
27,x11294_RL,LIG27,x11294.pdb,,,,,,50000,27
28,x11294_RL,LIG28,x11294.pdb,,,,,,50000,28
29,x11294_RL,LIG29,x11294.pdb,,,,,,50000,29
30,x11294_RL,LIG30,x11294.pdb,,,,,,50000,30
31,x11294_RL,LIG31,x11294.pdb,,,,,,50000,31
32,x11294_RL,LIG32,x11294.pdb,,,,,,50000,32
33,x11294_RL,LIG33,x11294.pdb,,,,,,50000,33
34,x11294_RL,LIG34,x11294.pdb,,,,,,50000,34
35,x11294_RL,LIG35,x11294.pdb,,,,,,50000,35
36,x11294_RL,LIG36,x11294.pdb,,,,,,50000,36
37,x11294_RL,LIG37,x11294.pdb,,,,,,50000,37
38,x11294_RL,LIG38,x11294.pdb,,,,,,50000,38
39,x11294_RL,LIG39,x11294.pdb,,,,,,50000,39
40,x11294_L,LIG0,x11294.pdb,,,,,,70000,0
41,x11294_L,LIG1,x11294.pdb,,,,,,70000,1
42,x11294_L,LIG2,x11294.pdb,,,,,,70000,2
43,x11294_L,LIG3,x11294.pdb,,,,,,70000,3
44,x11294_L,LIG4,x11294.pdb,,,,,,70000,4
45,x11294_L,LIG5,x11294.pdb,,,,,,70000,5
46,x11294_L,LIG6,x11294.pdb,,,,,,70000,6
47,x11294_L,LIG7,x11294.pdb,,,,,,70000,7
48,x11294_L,LIG8,x11294.pdb,,,,,,70000,8
49,x11294_L,LIG9,x11294.pdb,,,,,,70000,9
50,x11294_L,LIG10,x11294.pdb,,,,,,70000,10
51,x11294_L,LIG11,x11294.pdb,,,,,,70000,11
52,x11294_L,LIG12,x11294.pdb,,,,,,70000,12
53,x11294_L,LIG13,x11294.pdb,,,,,,70000,13
54,x11294_L,LIG14,x11294.pdb,,,,,,70000,14
55,x11294_L,LIG15,x11294.pdb,,,,,,70000,15
56,x11294_L,LIG16,x11294.pdb,,,,,,70000,16
57,x11294_L,LIG17,x11294.pdb,,,,,,70000,17
58,x11294_L,LIG18,x11294.pdb,,,,,,70000,18
59,x11294_L,LIG19,x11294.pdb,,,,,,70000,19
60,x11294_L,LIG20,x11294.pdb,,,,,,70000,20
61,x11294_L,LIG21,x11294.pdb,,,,,,70000,21
62,x11294_L,LIG22,x11294.pdb,,,,,,70000,22
63,x11294_L,LIG23,x11294.pdb,,,,,,70000,23
64,x11294_L,LIG24,x11294.pdb,,,,,,70000,24
65,x11294_L,LIG25,x11294.pdb,,,,,,70000,25
66,x11294_L,LIG26,x11294.pdb,,,,,,70000,26
67,x11294_L,LIG27,x11294.pdb,,,,,,70000,27
68,x11294_L,LIG28,x11294.pdb,,,,,,70000,28
69,x11294_L,LIG29,x11294.pdb,,,,,,70000,29
70,x11294_L,LIG30,x11294.pdb,,,,,,70000,30
71,x11294_L,LIG31,x11294.pdb,,,,,,70000,31
72,x11294_L,LIG32,x11294.pdb,,,,,,70000,32
73,x11294_L,LIG33,x11294.pdb,,,,,,70000,33
74,x11294_L,LIG34,x11294.pdb,,,,,,70000,34
75,x11294_L,LIG35,x11294.pdb,,,,,,70000,35
76,x11294_L,LIG36,x11294.pdb,,,,,,70000,36
77,x11294_L,LIG37,x11294.pdb,,,,,,70000,37
78,x11294_L,LIG38,x11294.pdb,,,,,,70000,38
79,x11294_L,LIG39,x11294.pdb,,,,,,70000,39
